standard_name,units,long_name,out_name
minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1,Wet Deposition Rate of NH4,wetnh4
minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_wet_deposition,kg m-2 s-1,Wet Deposition Rate of NOy Including Aerosol Nitrate,wetnoy
minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1,Wet Deposition Rate of Dry Aerosol Total Organic Matter,wetoa
minus_tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition,kg m-2 s-1,Wet Deposition Rate of SO2,wetso2
minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1,Wet Deposition Rate of SO4,wetso4
minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1,Wet Deposition Rate of Sea-Salt Aerosol,wetss
tropopause_altitude,m,Tropopause Altitude Above Geoid,ztp
mole_fraction_of_inorganic_bromine_in_air,mol mol-1,Total Inorganic Bromine Volume Mixing Ratio,bry
mole_fraction_of_inorganic_chlorine_in_air,mol mol-1,Total Inorganic Chlorine Volume Mixing Ratio,cly
mole_fraction_of_hydroperoxyl_radical_in_air,mol mol-1,HO2 Volume Mixing Ratio,ho2
age_of_stratospheric_air,yr,Mean Age of Stratospheric Air,meanage
mole_fraction_of_noy_expressed_as_nitrogen_in_air,mol mol-1,Total Reactive Nitrogen Volume Mixing Ratio,noy
covariance_over_longitude_of_northward_wind_and_air_temperature,K m s-1,Northward Eddy Temperature Flux,vt100
air_temperature,K,Daily Minimum Near-Surface Air Temperature,tasmin
air_temperature,K,Daily Maximum Near-Surface Air Temperature,tasmax
water_evapotranspiration_flux,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,evspsbl
tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,Surface Snow and Ice Sublimation Flux,sbl
surface_downward_eastward_stress,Pa,Surface Downward Eastward Wind Stress,tauu
surface_downward_northward_stress,Pa,Surface Downward Northward Wind Stress,tauv
toa_incoming_shortwave_flux,W m-2,TOA Incident Shortwave Radiation,rsdt
toa_outgoing_shortwave_flux,W m-2,TOA Outgoing Shortwave Radiation,rsut
toa_outgoing_longwave_flux,W m-2,TOA Outgoing Longwave Radiation,rlut
toa_outgoing_longwave_flux_assuming_clear_sky,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs
toa_outgoing_shortwave_flux_assuming_clear_sky,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs
atmosphere_mass_content_of_water_vapor,kg m-2,Water Vapor Path,prw
atmosphere_mass_content_of_cloud_condensed_water,kg m-2,Condensed Water Path,clwvi
atmosphere_mass_content_of_cloud_ice,kg m-2,Ice Water Path,clivi
net_downward_radiative_flux_at_top_of_atmosphere_model,W m-2,Net Downward Radiative Flux at Top of Model,rtmt
air_pressure_at_convective_cloud_base,Pa,Air Pressure at Convective Cloud Base,ccb
air_pressure_at_convective_cloud_top,Pa,Air Pressure at Convective Cloud Top,cct
convection_time_fraction,1,Fraction of Time Convection Occurs in Cell,ci
shallow_convection_time_fraction,1,Fraction of Time Shallow Convection Occurs,sci
tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],fco2antt
tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2 [kgC m-2 s-1],fco2fos
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources,kg m-2 s-1,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],fco2nat
cloud_area_fraction_in_atmosphere_layer,%,Percentage Cloud Cover,cl
mass_fraction_of_cloud_liquid_water_in_air,kg kg-1,Mass Fraction of Cloud Liquid Water,clw
mass_fraction_of_cloud_ice_in_air,kg kg-1,Mass Fraction of Cloud Ice,cli
atmosphere_net_upward_convective_mass_flux,kg m-2 s-1,Convective Mass Flux,mc
relative_humidity,%,Relative Humidity,hur
atmosphere_mass_of_carbon_dioxide,kg,Total Atmospheric Mass of CO2,co2mass
mole_fraction_of_methane_in_air,1e-09,Global Mean Mole Fraction of CH4,ch4global
mole_fraction_of_nitrous_oxide_in_air,1e-09,Global Mean Mole Fraction of N2O,n2oglobal
mole_fraction_of_cfc11_in_air,1e-12,Global Mean Mole Fraction of CFC11,cfc11global
mole_fraction_of_cfc12_in_air,1e-12,Global Mean Mole Fraction of CFC12,cfc12global
mole_fraction_of_hcfc22_in_air,1e-12,Global Mean Mole Fraction of HCFC22,hcfc22global
mole_fraction_of_cfc113_in_air,1e-12,Global Mean Mole Fraction of CFC113,cfc113global
height_above_reference_ellipsoid,m,Altitude of Model Full-Levels,zfull
height_above_reference_ellipsoid,m,Altitude of Model Half-Levels,zhalf
mass_fraction_of_stratiform_cloud_liquid_water_in_air,1,Mass Fraction of Stratiform Cloud Liquid Water,clws
mass_fraction_of_stratiform_cloud_ice_in_air,1,Mass Fraction of Stratiform Cloud Ice,clis
mass_fraction_of_convective_cloud_liquid_water_in_air,1,Mass Fraction of Convective Cloud Liquid Water,clwc
mass_fraction_of_convective_cloud_ice_in_air,1,Mass Fraction of Convective Cloud Ice,clic
effective_radius_of_stratiform_cloud_liquid_water_particles,m,Stratiform Cloud Liquid Droplet Effective Radius,reffclws
effective_radius_of_stratiform_cloud_ice_particles,m,Hydrometeor Effective Radius of Stratiform Cloud Ice,reffclis
effective_radius_of_convective_cloud_liquid_water_particles,m,Convective Cloud Liquid Droplet Effective Radius,reffclwc
effective_radius_of_convective_cloud_ice_particles,m,Hydrometeor Effective Radius of Convective Cloud Ice,reffclic
stratiform_graupel_flux,kg m-2 s-1,Stratiform Graupel Flux,grpllsprof
convective_rainfall_flux,kg m-2 s-1,Convective Rainfall Flux,prcprof
stratiform_rainfall_flux,kg m-2 s-1,Stratiform Rainfall Flux,prlsprof
convective_snowfall_flux,kg m-2 s-1,Convective Snowfall Flux,prsnc
stratiform_snowfall_flux,kg m-2 s-1,Stratiform Snowfall Flux,prlsns
effective_radius_of_stratiform_cloud_graupel_particles,m,Hydrometeor Effective Radius of Stratiform Graupel,reffgrpls
effective_radius_of_convective_cloud_rain_particles,m,Hydrometeor Effective Radius of Convective Rainfall,reffrainc
effective_radius_of_stratiform_cloud_rain_particles,m,Hydrometeor Effective Radius of Stratiform Rainfall,reffrains
effective_radius_of_convective_cloud_snow_particles,m,Hydrometeor Effective Radius of Convective Snowfall,reffsnowc
effective_radius_of_stratiform_cloud_snow_particles,m,Hydrometeor Effective Radius of Stratiform Snowfall,reffsnows
stratiform_cloud_longwave_emissivity,1,Stratiform Cloud Emissivity,dems
convective_cloud_longwave_emissivity,1,Convective Cloud Emissivity,demc
convective_cloud_area_fraction_in_atmosphere_layer,%,Convective Cloud Area Percentage,clc
stratiform_cloud_area_fraction_in_atmosphere_layer,%,Percentage Cover of Stratiform Cloud,cls
lagrangian_tendency_of_air_pressure,Pa s-1,Pressure Tendency,wap500
air_temperature,K,Air Temperature,ta700
cloud_area_fraction,%,ISCCP Total Cloud Cover Percentage,cltisccp
cloud_albedo,1,ISCCP Mean Cloud Albedo,albisccp
air_pressure_at_cloud_top,Pa,ISCCP Mean Cloud Top Pressure,pctisccp
cloud_area_fraction,%,CALIPSO Total Cloud Cover Percentage,cltcalipso
cloud_area_fraction_in_atmosphere_layer,%,CALIPSO Low Level Cloud Cover Percentage,cllcalipso
cloud_area_fraction_in_atmosphere_layer,%,CALIPSO Mid Level Cloud Cover Percentage,clmcalipso
cloud_area_fraction_in_atmosphere_layer,%,CALIPSO High Level Cloud Area Percentage,clhcalipso
cloud_area_fraction_in_atmosphere_layer,%,CALIPSO Percentage Cloud Cover,clcalipso
cloud_area_fraction_in_atmosphere_layer,%,ISCCP Cloud Area Percentage,clisccp
upwelling_longwave_flux_in_air,W m-2,Upwelling Longwave Radiation,rlu
upwelling_shortwave_flux_in_air,W m-2,Upwelling Shortwave Radiation,rsu
downwelling_longwave_flux_in_air,W m-2,Downwelling Longwave Radiation,rld
downwelling_shortwave_flux_in_air,W m-2,Downwelling Shortwave Radiation,rsd
upwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,Upwelling Clear-Sky Longwave Radiation,rlucs
upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Upwelling Clear-Sky Shortwave Radiation,rsucs
downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,Downwelling Clear-Sky Longwave Radiation,rldcs
downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Downwelling Clear-Sky Shortwave Radiation,rsdcs
tendency_of_air_temperature,K s-1,Tendency of Air Temperature,tnt
tendency_of_air_temperature_due_to_advection,K s-1,Tendency of Air Temperature Due to Advection,tnta
tendency_of_air_temperature_due_to_model_physics,K s-1,Tendency of Air Temperature Due to Model Physics,tntmp
tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,K s-1,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,tntscpbl
tendency_of_air_temperature_due_to_radiative_heating,K s-1,Tendency of Air Temperature Due to Radiative Heating,tntr
tendency_of_air_temperature_due_to_convection,K s-1,Tendency of Air Temperature Due to Convection,tntc
tendency_of_specific_humidity,s-1,Tendency of Specific Humidity,tnhus
tendency_of_specific_humidity_due_to_advection,s-1,Tendency of Specific Humidity Due to Advection,tnhusa
tendency_of_specific_humidity_due_to_convection,s-1,Tendency of Specific Humidity Due to Convection,tnhusc
tendency_of_specific_humidity_due_to_diffusion,s-1,Tendency of Specific Humidity Due to Numerical Diffusion,tnhusd
tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,s-1,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,tnhusscpbl
tendency_of_specific_humidity_due_to_model_physics,s-1,Tendency of Specific Humidity Due to Model Physics,tnhusmp
atmosphere_momentum_diffusivity,m2 s-1,Eddy Viscosity Coefficient for Momentum,evu
atmosphere_heat_diffusivity,m2 s-1,Eddy Diffusivity Coefficient for Temperature,edt
atmosphere_updraft_convective_mass_flux,kg m-2 s-1,Convective Updraft Mass Flux,mcu
atmosphere_downdraft_convective_mass_flux,kg m-2 s-1,Downdraft Convective Mass Flux,mcd
atmosphere_net_upward_shallow_convective_mass_flux,kg m-2 s-1,Shallow Convective Mass Flux,smc
atmosphere_net_upward_deep_convective_mass_flux,kg m-2 s-1,Deep Convective Mass Flux,dmc
toa_outgoing_shortwave_flux,W m-2,TOA Outgoing Shortwave Radiation in 4XCO2 Atmosphere,rsut4co2
toa_outgoing_longwave_flux,W m-2,TOA Outgoing Longwave Radiation 4XCO2 Atmosphere,rlut4co2
toa_outgoing_shortwave_flux_assuming_clear_sky,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,rsutcs4co2
toa_outgoing_longwave_flux_assuming_clear_sky,W m-2,TOA Outgoing Clear-Sky Longwave Radiation 4XCO2 Atmosphere,rlutcs4co2
upwelling_longwave_flux_in_air,W m-2,Upwelling Longwave Radiation 4XCO2 Atmosphere,rlu4co2
upwelling_shortwave_flux_in_air,W m-2,Upwelling Shortwave Radiation 4XCO2 Atmosphere,rsu4co2
downwelling_longwave_flux_in_air,W m-2,Downwelling Longwave Radiation 4XCO2 Atmosphere,rld4co2
downwelling_shortwave_flux_in_air,W m-2,Downwelling Shortwave Radiation 4XCO2 Atmosphere,rsd4co2
upwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,rlucs4co2
upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Upwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,rsucs4co2
downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,rldcs4co2
downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,rsdcs4co2
longitude,degrees_east,Longitude,lon
latitude,degrees_north,Latitude,lat
tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,m s-2,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag,utendnogw
tendency_of_northward_wind_due_to_nonorographic_gravity_wave_drag,m s-2,Northward Acceleration Due to Non-Orographic Gravity Wave Drag,vtendnogw
gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],gpp
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],ra
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,kg m-2 s-1,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],rh
shallow_convective_precipitation_flux,kg m-2 s-1,Precipitation Flux from Shallow Convection,prcsh
rainfall_flux,kg m-2 s-1,Rainfall Flux,prra
convective_rainfall_flux,kg m-2 s-1,Convective Rainfall Rate,prrc
cloud_area_fraction_in_atmosphere_layer,%,CALIPSO Cloud Cover Percentage Undetected by CloudSat (as Percentage of Area Covered),clcalipso2
histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,1,CloudSat Radar Reflectivity CFAD,cfadDbze94
histogram_of_backscattering_ratio_in_air_over_height_above_reference_ellipsoid,1,CALIPSO Scattering Ratio CFAD,cfadLidarsr532
toa_bidirectional_reflectance,1,PARASOL Reflectance,parasolRefl
cloud_area_fraction_in_atmosphere_layer,%,Percentage Cloud Cover as Calculated by the MISR Simulator (Including Error Flag),clmisr
cloud_area_fraction_in_atmosphere_layer,%,"MODIS Optical Thickness-Particle Size Joint Distribution, Liquid",jpdftaureliqmodis
cloud_area_fraction_in_atmosphere_layer,%,"MODIS Joint Distribution of Optical Thickness and Particle Size, Ice",jpdftaureicemodis
surface_diffuse_shortwave_hemispherical_reflectance,1,Diffuse Surface Albedo for Each Band,albdiffbnd
surface_direct_shortwave_hemispherical_reflectance,1,Direct Surface Albedo for Each Band,albdirbnd
toa_incoming_shortwave_flux,W m-2,TOA Solar Irradiance for Each Band,solbnd
atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,1,Aerosol Level Absorption Optical Thickness for Each Band,aeroptbnd
single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,1,Aerosol Level Single Scattering Albedo for Each Band,aerssabnd
asymmetry_factor_of_ambient_aerosol_particles,1,Aerosol Level Asymmetry Parameter for Each Band,aerasymbnd
surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",rsdscsaf
surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,Surface Upwelling Clean Clear-Sky Shortwave Radiation,rsuscsaf
toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,W m-2,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",rsutcsafbnd
surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",rsdscsafbnd
surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",rsuscsafbnd
toa_outgoing_shortwave_flux_assuming_clear_sky,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation for Each Band,rsutcsbnd
surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation for Each Band,rsdscsbnd
surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation for Each Band,rsuscsbnd
upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",rsucsaf
downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,"Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",rsdcsaf
upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",rsucsafbnd
downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,"Downwelling Clear-Sky, Aerosol-Free, Shortwave Radiation in Bands",rsdcsafbnd
upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Upwelling Clear-Sky Shortwave Radiation at Each Level for Each Band,rsucsbnd
downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Downwelling Clear-Sky Shortwave Radiation at Each Level for Each Band,rsdcsbnd
solar_zenith_angle,degree,Solar Zenith Angle,sza
tendency_of_air_temperature_due_to_shortwave_heating_from_volcanic_ambient_aerosol_particles,K s-1,Zonal Mean Shortwave Heating Rate Due to Volcanic Aerosols,zmswaero
tendency_of_air_temperature_due_to_longwave_heating_from_volcanic_ambient_aerosol_particles,K s-1,Zonal Mean Longwave Heating Rate Due to Volcanic Aerosols,zmlwaero
leaf_area_index,1,Leaf Area Index,lai
liquid_water_content_of_soil_layer,kg m-2,Liquid Water Content of Soil Layer,mrsll
frozen_water_content_of_soil_layer,kg m-2,Frozen Water Content of Soil Layer,mrsfl
atmosphere_mass_content_of_convective_cloud_condensed_water,kg m-2,Convective Condensed Water Path,clwvic
atmosphere_mass_content_of_convective_cloud_ice,kg m-2,Convective Ice Water Path,clivic
atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles,kg m-2,Load of Dry Aerosol Organic Matter,loadoa
atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles,kg m-2,Load of Dry Aerosol Secondary Organic Matter,loadsoa
atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles,kg m-2,Load of Black Carbon Aerosol,loadbc
atmosphere_mass_content_of_sulfate_dry_aerosol_particles,kg m-2,Load of SO4,loadso4
atmosphere_mass_content_of_dust_dry_aerosol_particles,kg m-2,Load of Dust,loaddust
atmosphere_mass_content_of_sea_salt_dry_aerosol_particles,kg m-2,Load of Sea-Salt Aerosol,loadss
atmosphere_mass_content_of_nitrate_dry_aerosol_particles,kg m-2,Load of NO3,loadno3
atmosphere_mass_content_of_ammonium_dry_aerosol_particles,kg m-2,Load of NH4,loadnh4
effective_radius_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top,m,Cloud-Top Effective Droplet Radius in Stratiform Cloud,reffsclwtop
effective_radius_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,m,Cloud-Top Effective Droplet Radius in Convective Cloud,reffcclwtop
number_concentration_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top,m-3,Cloud Droplet Number Concentration of Stratiform Cloud Tops,scldncl
number_concentration_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,m-3,Cloud Droplet Number Concentration of Convective Cloud Tops,ccldncl
number_concentration_of_ice_crystals_in_air_at_ice_cloud_top,m-3,Ice Crystal Number Concentration of Cloud Tops,cldnci
atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_particles,kg m-2,Load of Dry Aerosol Primary Organic Matter,loadpoa
surface_diffuse_downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Surface Diffuse Downwelling Clear Sky Shortwave Radiation,rsdscsdiff
atmosphere_number_content_of_cloud_droplets,m-2,Column Integrated Cloud Droplet Number,cldnvi
air_temperature,K,Air Temperature,ta850
ocean_mixed_layer_thickness_defined_by_sigma_t,m,Ocean Mixed Layer Thickness Defined by Sigma T,mlotst
dew_point_temperature,K,2m Dewpoint Temperature,tdps
depth_of_isosurface_of_sea_water_potential_temperature,m,Depth of 20 degree Celsius Isotherm,t20d
surface_snow_thickness,m,Snow Depth,snd
surface_downward_eastward_stress_due_to_boundary_layer_mixing,Pa,Eastward Surface Stress from Planetary Boundary Layer Scheme,tauupbl
surface_downward_northward_stress_due_to_boundary_layer_mixing,Pa,Northward Surface Stress from Planetary Boundary Layer Scheme,tauvpbl
surface_temperature,K,Land Surface Temperature,tsland
surface_net_downward_shortwave_flux,W m-2,Net Shortwave Surface Radiation,rss
surface_net_downward_longwave_flux,W m-2,Net Longwave Surface Radiation,rls
surface_downward_heat_flux_in_air,W m-2,Downward Heat Flux at Land Surface,hfdsl
surface_downward_heat_flux_in_snow,W m-2,Downward Heat Flux into Snow Where Land over Land,hfdsn
downward_heat_flux_at_ground_level_in_snow,W m-2,Downward Heat Flux at Snow Base,hfdsnb
surface_snow_and_ice_melt_heat_flux,W m-2,Energy of Fusion,hfmlt
surface_upward_latent_heat_flux_due_to_sublimation,W m-2,Energy of Sublimation,hfsbl
magnitude_of_surface_downward_stress,N m-2,Momentum Flux,tau
tendency_of_thermal_energy_content_of_surface_snow_due_to_rainfall_temperature_excess_above_freezing,W m-2,Heat Transferred to Snowpack by Rainfall,hfrs
change_over_time_in_thermal_energy_content_of_vegetation_and_litter_and_soil,J m-2,Change in Surface Heat Storage,dtes
change_over_time_in_thermal_energy_content_of_ice_and_snow_on_land,J m-2,Change in Snow and Ice Cold Content,dtesn
surface_temperature,K,Snow Surface Temperature,tsns
canopy_temperature,K,Vegetation Canopy Temperature,tcs
surface_temperature,K,Temperature of Bare Soil,tgs
surface_temperature,K,Surface Radiative Temperature,tr
surface_albedo,1,Snow Albedo,albsn
canopy_albedo,1,Canopy Albedo,albc
vegetation_area_fraction,%,Canopy Covered Area Percentage,cnc
temperature_in_surface_snow,K,Snow Internal Temperature,tsn
precipitation_flux_onto_canopy,kg m-2 s-1,Precipitation onto Canopy,prveg
water_evaporation_flux_from_canopy,kg m-2 s-1,Interception Evaporation,ec
transpiration_flux,kg m-2 s-1,Transpiration,tran
water_evaporation_flux_from_soil,kg m-2 s-1,Bare Soil Evaporation,es
surface_water_evaporation_flux,kg m-2 s-1,Open Water Evaporation,eow
water_evapotranspiration_flux,kg m-2 s-1,Snow Evaporation,esn
tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_ice,kg m-2 s-1,Sublimation of the Snow Free Area,sblnosn
water_potential_evaporation_flux,kg m-2 s-1,Potential Evapotranspiration,evspsblpot
surface_runoff_flux,kg m-2 s-1,Surface Runoff,mrros
subsurface_runoff_flux,kg m-2 s-1,Subsurface Runoff,mrrob
surface_snow_melt_flux,kg m-2 s-1,Surface Snow Melt,snm
surface_snow_and_ice_refreezing_flux,kg m-2 s-1,Refreezing of Water in the Snow,snrefr
liquid_water_mass_flux_into_soil_due_to_surface_snow_melt,kg m-2 s-1,Water Flowing out of Snowpack,snmsl
downward_liquid_water_mass_flux_into_groundwater,kg m-2 s-1,Groundwater Recharge from Soil Layer,qgwr
outgoing_water_volume_transport_along_river_channel,m3 s-1,River Discharge,rivo
incoming_water_volume_transport_along_river_channel,m3 s-1,River Inflow,rivi
change_over_time_in_mass_content_of_water_in_soil,kg m-2,Change in Soil Moisture,dslw
change_over_time_in_amount_of_ice_and_snow_on_land,kg m-2,Change in Snow Water Equivalent,dsn
change_over_time_in_land_water_amount,kg m-2,Change in Surface Water Storage,dsw
change_over_time_in_canopy_water_amount,kg m-2,Change in Interception Storage,dcw
change_over_time_in_groundwater_amount,kg m-2,Change in Groundwater,dgw
change_over_time_in_river_water_amount,kg m-2,Change in River Storage,drivw
mass_content_of_water_in_soil_layer_defined_by_root_depth,kg m-2,Root Zone Soil Moisture,rzwc
canopy_water_amount,kg m-2,Total Canopy Water Storage,cw
canopy_snow_amount,kg m-2,Snow Water Equivalent Intercepted by the Vegetation,snwc
liquid_water_content_of_surface_snow,kg m-2,Liquid Water Content of Snow Layer,lwsnl
land_surface_liquid_water_amount,kg m-2,Surface Water Storage,sw
volume_fraction_of_condensed_water_in_soil_at_field_capacity,1,Total Soil Wetness,mrsow
water_table_depth,m,Water Table Depth,wtd
land_water_amount,kg m-2,Terrestrial Water Storage,mrtws
mass_fraction_of_unfrozen_water_in_soil_moisture,1,Average Layer Fraction of Liquid Moisture,mrlqso
mass_fraction_of_frozen_water_in_soil_moisture,1,Average Layer Fraction of Frozen Moisture,mrfsofr
mass_fraction_of_rainfall_falling_onto_surface_snow,1,Fraction of Rainfall on Snow,prrsn
mass_fraction_of_solid_precipitation_falling_onto_surface_snow,1,Fraction of Snowfall (Including Hail and Graupel) on Snow,prsnsn
age_of_surface_snow,day,Mean Age of Snow,agesno
soot_content_of_surface_snow,kg m-2,Snow Soot Content,sootsn
depth_at_shallowest_isotherm_defined_by_soil_temperature,m,Depth to Soil Thaw,dmlt
permafrost_layer_thickness,m,Permafrost Layer Thickness,tpf
liquid_water_content_of_permafrost_layer,kg m-2,Liquid Water Content of Permafrost Layer,pflw
aerodynamic_resistance,s m-1,Aerodynamic Resistance,ares
nudging_increment_in_mass_content_of_water_in_soil,kg m-2,Nudging Increment of Water in Soil Moisture,nudgincsm
nudging_increment_in_snow_and_ice_amount_on_land,kg m-2,Nudging Increment of Water in Snow,nudgincswe
atmosphere_boundary_layer_thickness,m,Height of Boundary Layer,zmla
specific_humidity,1,Specific Humidity,hus850
air_temperature,K,Air Temperature,ta500
air_temperature,K,Daily Maximum Near-Surface Air Temperature over Crop Tile,tasmaxCrop
air_temperature,K,Daily Minimum Near-Surface Air Temperature over Crop Tile,tasminCrop
relative_humidity,%,Daily Minimum Near-Surface Relative Humidity over Crop Tile,hursminCrop
precipitation_flux,kg m-2 s-1,Precipitation over Crop Tile,prCrop
stratosphere_optical_thickness_due_to_volcanic_ambient_aerosol_particles,1e-09,Aerosol Optical Depth at 550nm Due to Stratospheric Volcanic Aerosols,aod550volso4
northward_transformed_eulerian_mean_air_velocity,m s-1,Transformed Eulerian Mean Northward Wind,vtem
upward_transformed_eulerian_mean_air_velocity,m s-1,Transformed Eulerian Mean Upward Wind,wtem
northward_eliassen_palm_flux_in_air,m3 s-2,Northward Component of the Eliassen-Palm Flux,epfy
upward_eliassen_palm_flux_in_air,m3 s-2,Upward Component of the Eliassen-Palm Flux,epfz
tendency_of_eastward_wind_due_to_eliassen_palm_flux_divergence,m s-2,Tendency of Eastward Wind Due to Eliassen-Palm Flux Divergence,utendepfd
tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,m s-2,Eastward Acceleration Due to Orographic Gravity Wave Drag,utendogw
atmosphere_transformed_eulerian_mean_meridional_overturning_mass_streamfunction,kg s-1,Transformed Eulerian Mean Mass Streamfunction,psitem
tendency_of_eastward_wind_due_to_advection_by_northward_transformed_eulerian_mean_air_velocity,m s-1 d-1,Tendency of Eastward Wind Due to TEM Northward Advection and Coriolis Term,utendvtem
tendency_of_eastward_wind_due_to_advection_by_upward_transformed_eulerian_mean_air_velocity,m s-1 d-1,Tendency of Eastward Wind Due to TEM Upward Advection,utendwtem
canopy_height,m,Height of the Vegetation Canopy,vegHeight
grounded_ice_sheet_area_fraction,%,Grounded Ice Sheet Area Percentage,sftgrf
